ID,Name,Year,Rank,Average,Bayes average,Users rated,URL,Thumbnail
521,Crokinole,1876,67,7.8,7.553,8235,/boardgame/521/crokinole,https://cf.geekdo-images.com/images/pic79413_mt.jpg
104162,Descent: Journeys in the Dark (Second Edition),2012,68,7.78,7.552,16061,/boardgame/104162/descent-journeys-dark-second-edition,https://cf.geekdo-images.com/images/pic1180640_mt.jpg
125153,The Gallerist,2015,69,8.03,7.55,4623,/boardgame/125153/gallerist,https://cf.geekdo-images.com/images/pic2503200_mt.png
127023,Kemet,2012,70,7.77,7.54,10435,/boardgame/127023/kemet,https://cf.geekdo-images.com/images/pic1431241_mt.jpg
155426,Castles of Mad King Ludwig,2014,71,7.7,7.539,15159,/boardgame/155426/castles-mad-king-ludwig,https://cf.geekdo-images.com/images/pic1961827_mt.jpg
9609,War of the Ring (first edition),2004,72,7.8,7.53,9078,/boardgame/9609/war-ring-first-edition,https://cf.geekdo-images.com/images/pic725882_mt.jpg
34635,Stone Age,2008,73,7.62,7.527,32759,/boardgame/34635/stone-age,https://cf.geekdo-images.com/images/pic1632539_mt.jpg
103343,A Game of Thrones: The Board Game (Second Edition),2011,74,7.72,7.522,19747,/boardgame/103343/game-thrones-board-game-second-edition,https://cf.geekdo-images.com/images/pic1077906_mt.jpg
128882,The Resistance: Avalon,2012,75,7.69,7.522,17946,/boardgame/128882/resistance-avalon,https://cf.geekdo-images.com/images/pic1398895_mt.jpg
161970,Alchemists,2014,76,7.75,7.522,11359,/boardgame/161970/alchemists,https://cf.geekdo-images.com/images/pic2241156_mt.png
155068,Arcadia Quest,2014,77,7.94,7.514,5950,/boardgame/155068/arcadia-quest,https://cf.geekdo-images.com/images/pic2305263_mt.jpg
175155,Forbidden Stars,2015,78,8.05,7.512,4558,/boardgame/175155/forbidden-stars,https://cf.geekdo-images.com/images/pic2471359_mt.jpg
146652,Legendary Encounters: An Alien Deck Building Game,2014,79,7.84,7.505,7353,/boardgame/146652/legendary-encounters-alien-deck-building-game,https://cf.geekdo-images.com/images/pic2225180_mt.jpg
70149,Ora et Labora,2011,80,7.77,7.499,7948,/boardgame/70149/ora-et-labora,https://cf.geekdo-images.com/images/pic1165426_mt.jpg
147020,Star Realms,2014,81,7.64,7.496,21669,/boardgame/147020/star-realms,https://cf.geekdo-images.com/images/pic1903816_mt.jpg
123260,Suburbia,2012,82,7.62,7.482,16156,/boardgame/123260/suburbia,https://cf.geekdo-images.com/images/pic1418335_mt.jpg
126042,Nations,2013,83,7.73,7.479,8849,/boardgame/126042/nations,https://cf.geekdo-images.com/images/pic1591406_mt.png
14996,Ticket to Ride: Europe,2005,84,7.58,7.474,38874,/boardgame/14996/ticket-ride-europe,https://cf.geekdo-images.com/images/pic66668_mt.jpg
14105,Commands & Colors: Ancients,2006,85,7.79,7.472,7026,/boardgame/14105/commands-colors-ancients,https://cf.geekdo-images.com/images/pic132447_mt.jpg
148949,Istanbul,2014,86,7.63,7.472,14622,/boardgame/148949/istanbul,https://cf.geekdo-images.com/images/pic1885326_mt.jpg
43111,Chaos in the Old World,2009,87,7.68,7.471,11890,/boardgame/43111/chaos-old-world,https://cf.geekdo-images.com/images/pic1318481_mt.jpg
17133,Railways of the World,2005,88,7.7,7.47,9671,/boardgame/17133/railways-world,https://cf.geekdo-images.com/images/pic445850_mt.jpg
91,Paths of Glory,1999,89,8.02,7.457,3726,/boardgame/91/paths-glory,https://cf.geekdo-images.com/images/pic834645_mt.jpg
39463,Cosmic Encounter,2008,90,7.59,7.445,20619,/boardgame/39463/cosmic-encounter,https://cf.geekdo-images.com/images/pic1521633_mt.jpg
21050,Combat Commander: Europe,2006,91,7.91,7.44,4513,/boardgame/21050/combat-commander-europe,https://cf.geekdo-images.com/images/pic992459_mt.jpg
171131,Captain Sonar,2016,92,7.77,7.438,6811,/boardgame/171131/captain-sonar,https://cf.geekdo-images.com/images/pic3013621_mt.png
9216,Goa,2004,93,7.63,7.424,9919,/boardgame/9216/goa,https://cf.geekdo-images.com/images/pic1215969_mt.jpg
27833,Steam,2009,94,7.66,7.422,8308,/boardgame/27833/steam,https://cf.geekdo-images.com/images/pic392515_mt.jpg
77423,The Lord of the Rings: The Card Game,2011,95,7.63,7.419,15863,/boardgame/77423/lord-rings-card-game,https://cf.geekdo-images.com/images/pic906495_mt.jpg
54043,Jaipur,2009,96,7.54,7.419,21389,/boardgame/54043/jaipur,https://cf.geekdo-images.com/images/pic725500_mt.jpg
146886,La Granja,2014,97,7.78,7.415,5512,/boardgame/146886/la-granja,https://cf.geekdo-images.com/images/pic2031777_mt.jpg
185343,Anachrony,2017,98,8.21,7.415,2863,/boardgame/185343/anachrony,https://cf.geekdo-images.com/images/pic3499707_mt.jpg
198928,Pandemic Iberia,2016,99,8.12,7.413,3006,/boardgame/198928/pandemic-iberia,https://cf.geekdo-images.com/images/pic3000850_mt.png
43015,Hansa Teutonica,2009,100,7.63,7.413,8993,/boardgame/43015/hansa-teutonica,https://cf.geekdo-images.com/images/pic839090_mt.jpg
4098,Age of Steam,2002,101,7.7,7.412,6932,/boardgame/4098/age-steam,https://cf.geekdo-images.com/images/pic429576_mt.jpg
176189,Zombicide: Black Plague,2015,102,7.88,7.41,6407,/boardgame/176189/zombicide-black-plague,https://cf.geekdo-images.com/images/pic2482309_mt.jpg
148228,Splendor,2014,103,7.52,7.41,34552,/boardgame/148228/splendor,https://cf.geekdo-images.com/images/pic1904079_mt.jpg
